GEOID,NAME,sports_name,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,power4_school_list
27260,"Jacksonville, FL Metro Area","Jacksonville, FL Metro Area",1,1,0,0,0,1,0,0,NA
28140,"Kansas City, MO-KS Metro Area","Kansas City, MO-KS Metro Area",2,1,0,1,0,1,0,0,NA
28940,"Knoxville, TN Metro Area",NA,0,0,0,0,0,0,1,1,Tennessee
29200,"Lafayette-West Lafayette, IN Metro Area",NA,0,0,0,0,0,0,1,1,Purdue
29620,"Lansing-East Lansing, MI Metro Area",NA,0,0,0,0,0,0,1,1,Michigan State
29820,"Las Vegas-Paradise, NV Metro Area","Las Vegas-Henderson-North Las Vegas, NV Metro Area",3,1,0,0,1,1,0,0,NA
29820,"Las Vegas-Henderson-Paradise, NV Metro Area","Las Vegas-Henderson-North Las Vegas, NV Metro Area",3,1,0,0,1,1,0,0,NA
29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area","Las Vegas-Henderson-North Las Vegas, NV Metro Area",3,1,0,0,1,1,0,0,NA
29940,"Lawrence, KS Metro Area",NA,0,0,0,0,0,0,1,1,Kansas
30460,"Lexington-Fayette, KY Metro Area",NA,0,0,0,0,0,0,1,1,Kentucky
30700,"Lincoln, NE Metro Area",NA,0,0,0,0,0,0,1,1,Nebraska
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area",8,1,1,1,1,1,0,0,NA
31140,"Louisville/Jefferson County, KY-IN Metro Area",NA,0,0,0,0,0,0,1,1,Louisville
31180,"Lubbock, TX Metro Area",NA,0,0,0,0,0,0,1,1,Texas Tech
31540,"Madison, WI Metro Area",NA,0,0,0,0,0,0,1,1,Wisconsin
31740,"Manhattan, KS Metro Area",NA,0,0,0,0,0,0,1,1,Kansas State
32820,"Memphis, TN-MS-AR Metro Area","Memphis, TN-MS-AR Metro Area",1,0,1,0,0,1,0,0,NA
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",4,1,1,1,1,1,0,0,NA
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",4,1,1,1,1,1,1,1,Miami
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area","Milwaukee-Waukesha, WI Metro Area",1,0,1,0,0,1,0,0,NA
33340,"Milwaukee-Waukesha, WI Metro Area","Milwaukee-Waukesha, WI Metro Area",1,0,1,0,0,1,0,0,NA
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4,1,1,1,1,1,1,1,Minnesota
34060,"Morgantown, WV Metro Area",NA,0,0,0,0,0,0,1,1,West Virginia
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",3,1,1,0,1,1,1,1,Vanderbilt
35380,"New Orleans-Metairie-Kenner, LA Metro Area","New Orleans-Metairie, LA Metro Area",2,1,1,0,0,1,0,0,NA
