year,GEOID,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,mlb_avg_temp,mlb_win_pct,mlb_make_playoffs,mlb_make_playoffs_prev,mlb_murder_rate,nfl_avg_temp,nfl_win_pct,nfl_make_playoffs,nfl_make_playoffs_prev,nfl_murder_rate,nhl_avg_temp,nhl_win_pct,nhl_make_playoffs,nhl_make_playoffs_prev,nhl_murder_rate,cfb_avg_temp,cfb_win_pct,cfb_make_playoffs,cfb_make_playoffs_prev,cfb_murder_rate,median_household_income,labor_force,unemployed,unemployment_rate,median_home_value,median_gross_rent,housing_units,owner_occupied,homeownership_rate,poverty_universe,below_poverty,poverty_rate,edu_universe_25plus,bachelors_plus_rate,total_population,race_white_nonhispanic_rate,race_black_nonhispanic_rate,race_aian_nonhispanic_rate,race_asian_nonhispanic_rate,race_nhpi_nonhispanic_rate,race_other_nonhispanic_rate,race_two_plus_nonhispanic_rate,hispanic_or_latino_rate,pop_under_18_rate,pop_18_to_64_rate,pop_65plus_rate
2012,15380,2,1,0,0,1,1,0,0,NA,NA,0,0,NA,48,0.375,0,0,12.36,48,0.5,0,0,12.1,NA,NA,0,0,NA,49572,584171,48232,8.256486542467874,119700,701,468522,311875,66.56571089511272,1104701,154572,13.992202414952102,774122,28.54007507860518,1135411,79.49878942515089,11.81228647599856,0.5390999382602424,2.3609952695543726,0.020521203335179948,0.15589068628012237,1.5050937501926616,4.107323251227969,21.555630516174322,62.62613273959826,15.81823674422742
2012,16580,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.167,0,0,3.8,46830,123775,8834,7.137144011310846,142200,777,91327,52896,57.91934477208274,214237,43075,20.106237484654844,135208,38.89784628128513,231655,74.26776888044722,10.822991085882022,0.15367680386782068,7.971768362435519,0.006475146230385703,0.13554639442274072,1.8700222313353911,4.771751095378904,19.912801364097472,68.96203405926917,11.125164576633356
2012,16740,2,1,1,0,0,1,0,0,NA,NA,0,0,NA,62,0.438,0,0,6.64,NA,NA,0,0,NA,NA,NA,0,0,NA,54152,949342,99460,10.476730198390042,171100,834,669127,445687,66.60723599555838,1736968,241829,13.922478710028049,1151943,32.847805837615226,1766452,61.19249206884761,23.409240669998393,0.35721321609644646,3.180556278913891,0.04534513250289281,0.2356701455799535,1.7941614037630234,9.78532108429779,25.848027571652104,63.982661289409506,10.169311138938392
2012,16820,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.333,0,0,2.26,59526,101998,5302,5.198141140022353,277900,1029,77586,50261,64.78101719382363,191225,24080,12.592495751078573,132173,43.00802735808372,201909,76.57509075870813,12.633414062770854,0.20306177535424375,3.6853235863681166,0.026744721632022347,0.190679959783863,2.1366060948248964,4.549079040557875,20.478532408164074,65.7474406787216,13.774026913114323
2012,16980,5,1,1,1,1,1,0,0,50,73,0,0,NA,50,0.625,0,0,18.48,50,0.802,1,1,22.22,NA,0.769,0,0,1.79,61367,5020291,525195,10.461445362430185,236800,950,3427916,2282539,66.58678334008185,9313425,1238963,13.302979301384829,6203948,34.28531315865317,9460763,54.95725873272589,17.02917618800936,0.10873330195460978,5.653508073291763,0.020886264670196265,0.18462570090805572,1.3666550995939757,20.67915663884615,25.011756451355982,63.46736515860296,11.520878390041057
2012,17140,2,1,0,1,0,1,0,0,55,97,1,1,11.14,55,0.625,1,1,11.4,NA,NA,0,0,NA,NA,0.769,0,0,12.09,54779,1114170,95376,8.560273566870407,155700,729,816963,558236,68.33063431269225,2083314,279830,13.431964648631938,1398404,29.21895246295062,2129745,81.60732857689536,11.997586565527799,0.1511918093480675,1.9011196176068026,0.0193919929381217,0.1412375659996854,1.6053565098169031,2.576787361867266,24.860769716562313,62.7942781882338,12.344952095203885
2012,17780,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.846,0,0,1.34,38599,114746,8960,7.808551060603419,139800,809,81218,41321,50.87665295870374,212281,59469,28.014282955139652,117293,33.959400816758034,227843,59.70251445074021,11.539086125094911,0.2558779510452373,4.5351404256439745,0.01931154347511225,0.12508613387288617,1.2776341603648127,22.545349209762865,21.05353247631044,70.0741299930215,8.872337530668048
2012,17860,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.417,0,0,3.96,47383,97665,6234,6.383044079250499,156000,770,68403,40069,58.57784015320966,163136,31432,19.267359748921145,100939,45.70780372304065,173426,81.44511203625754,8.54254840681328,0.1810570502692791,3.5294592506313935,0.06400424388499994,0.33443658966936907,2.993784092350628,2.9095983301235107,20.962831409361918,69.34139056427526,9.695778026362829
2012,17900,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.846,0,0,7.68,49200,406449,39291,9.666895477661404,139000,801,292964,199612,68.13533403421582,734130,112090,15.268412951384633,496816,30.070891436668706,767299,58.336580654998905,32.977626713966785,0.20630810153538578,1.637171428608665,0.061253826735079814,0.127590417816262,1.662454923048251,4.991013933290673,23.442621455260596,64.97089139957174,11.58648714516766
2012,18140,1,0,0,0,1,1,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,52,0.573,0,0,8.54,NA,1,0,0,7.13,54628,985020,77711,7.889281435909931,162100,795,710600,447821,63.02012383900929,1792602,266787,14.882667764512144,1197245,33.421480148173515,1840267,75.88176063582078,14.636028358928352,0.14900011791767173,3.159867562696065,0.025485432276946766,0.1708991140959437,2.3878056825449785,3.5891530957192623,24.666475027808467,64.6311105942779,10.70241437791364
2012,19100,4,1,1,1,1,1,2,1,67,93,1,1,3.4,67,0.5,0,0,9.38,67,0.5,0,0,9.71,NA,0.538,0,0,6.865,58190,3367369,263895,7.836830475068221,149500,889,2279978,1410578,61.8680531127932,6312040,905836,14.35092299795312,4025535,31.35670165580476,6400781,50.211278904871136,14.681161564502831,0.31689882843984196,5.384249203339405,0.09295740629151349,0.17675967979532498,1.6776702717996446,27.4590241409603,27.700994613001136,63.394138933983214,8.904866453015655
2012,19740,4,1,1,1,1,1,0,0,51,64,0,0,4.39,51,0.813,1,1,4.6,51,0.406,0,0,4.58,NA,NA,0,0,NA,62407,1430050,113939,7.967483654417677,246900,938,1000849,646567,64.60185302678026,2522468,305778,12.122175583595114,1700597,38.756801288018266,2554243,65.84029005854181,5.3526230667951324,0.44980058671003503,3.5845062509714225,0.10394469124511646,0.1531177730544823,2.092400762182768,22.423316810499237,24.82073945196287,64.99710481735684,10.182155730680284
2012,19820,4,1,1,1,1,1,0,0,50,88,1,1,36.38,50,0.25,0,0,37.18,50,0.583,1,1,35.92,NA,NA,0,0,NA,51903,2144842,297440,13.867688156050656,135700,823,1652102,1179966,71.42210347787244,4261188,690401,16.20207791817681,2889899,27.585150899737325,4304617,67.80888985013068,22.58056872423261,0.25851312671952,3.389476926750975,0.02183701825272725,0.13360073613982384,1.8908302411108815,3.9162833766627783,24.20830935713909,62.510183832847375,13.281506810013527
2012,20500,0,0,0,0,0,0,2,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.5645,0,0,4.62,52143,269107,21939,8.152519258138955,191500,831,201345,122623,60.90193449055105,482151,81089,16.818175218966672,331661,43.703058243206165,506459,55.434299716265286,26.583198245070182,0.3099954784099009,4.330656578321246,0.024286269964597332,0.24306014899527897,2.0254354251775566,11.049068137795953,21.99763455679532,66.56392718857795,11.438438254626732
2012,21660,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.923,0,0,1.79,42628,175883,20300,11.541763558729382,226200,824,145474,86739,59.62508764452754,344262,64705,18.795278015000203,236670,27.488063548400728,351794,84.5605666952819,0.8883039506074577,0.9172981915552852,2.3758222141366825,0.2311011557900362,0.1472452628526922,3.4534415026976015,7.4262210270783475,19.70528206848326,65.10145141759097,15.193266513925764
2012,23540,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.846,0,0,5.27,42311,133537,11116,8.3242846551892,171200,891,102507,58236,56.81172993063889,248613,58840,23.667306214880153,156913,39.0942751715919,264853,65.19390001245974,18.864426681970752,0.21936696960200563,5.027694607952336,0.06796222810389159,0.3247084231630376,2.0958796011372347,8.206061475611,18.115709469026214,70.64371557052402,11.24057496044976
2012,24580,1,1,0,0,0,1,0,0,NA,NA,0,0,NA,46,0.688,1,1,2.16,NA,NA,0,0,NA,NA,NA,0,0,NA,53206,168389,11393,6.765881381800474,156900,672,122374,85699,70.03039861408469,298335,32217,10.798934084167128,203419,23.363599270471294,306758,86.05643536598883,1.6736319835179523,2.032872818312807,2.2793211586983877,0.015647513675274973,0.05607025733640198,1.7163366562567235,6.169684246213627,24.476623266548874,62.971136857066476,12.552239876384641
2012,26420,3,1,1,1,0,1,0,0,70,55,0,0,9.96,70,0.75,1,1,10.56,NA,NA,0,0,NA,NA,0.417,0,0,10.92,57426,3048340,236176,7.747692186567115,141000,879,2041942,1277769,62.57616523877759,5884328,928793,15.784181303285608,3732672,28.931473218112924,5962416,39.71482365537729,16.890351159664135,0.19113057525674157,6.578826435458378,0.045082396129354274,0.20208251151882056,1.1388671974582116,35.23883606913707,27.81280272963175,63.459879350920836,8.727317919447419
2012,26900,1,1,1,0,0,1,0,0,NA,NA,0,0,NA,53,0.688,1,1,12.53,NA,NA,0,0,NA,NA,NA,0,0,NA,53324,930248,82017,8.816681143093025,145300,781,673718,451730,67.05030888294509,1724296,231823,13.444501408110904,1144546,31.27187548600056,1759791,74.60635950519125,14.74533055345777,0.17149763807179375,2.2082735961259035,0.015285906110441524,0.21695758189466818,1.945571945759468,6.090723273388715,26.104520366338956,62.917073675226206,10.978405958434836
2012,26980,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.333,0,0,1.31,53756,90196,3895,4.318373320324627,171400,778,61752,38673,62.62631169840653,144737,24091,16.64467275126609,91671,46.136728081945215,153392,84.54482632731825,4.053666423281528,0.15580995097527903,4.740794826327318,0.02151350787524773,0.051502034004380935,1.6278554292270784,4.804031500990925,20.474992176906227,69.6659538959007,9.859053927193074
2012,27260,1,1,0,0,0,1,0,0,NA,NA,0,0,NA,70,0.125,0,0,9.64,NA,NA,0,0,NA,NA,NA,0,0,NA,52881,704084,71405,10.141545611035047,172400,948,507780,342817,67.51289928709284,1324673,184307,13.913395985273347,898196,27.04543329072942,1349130,65.71264444493859,21.29513093623298,0.2523107484082335,3.396485142276875,0.07427008516599586,0.1758170079977467,2.1295946276489293,6.96374700733065,23.739002171769954,63.99086818912929,12.270129639100753
2012,28140,2,1,0,1,0,1,0,0,54,72,0,0,20.57,54,0.125,0,0,19.83,NA,NA,0,0,NA,NA,NA,0,0,NA,56826,1093951,84297,7.705738191198691,158800,806,796175,538409,67.62445442270858,2001402,242161,12.099568202689914,1346832,32.79243439419319,2035166,74.48910801379347,12.27035042841714,0.3651299206059849,2.292294584323834,0.13964462849713488,0.133600895455211,2.1944647267102537,8.115406802196972,25.49718303076997,62.42001880927649,12.082798159953537
2012,28940,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.417,0,0,5.75,46422,352834,26355,7.4695182437066725,154700,722,287751,197796,68.73859691191343,682229,98956,14.504807036933345,474643,29.052782828357316,699097,86.78409433883996,6.577627997259322,0.19224799991989666,1.4736152493859935,0.022457541657309357,0.13360091661099963,1.4196885410751297,3.3966674152513887,21.779381115925258,63.44727555689696,14.773343327177773
2012,29620,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.538,0,0,2.42,50185,241626,23323,9.65252083798929,137900,747,180387,120396,66.74316885363136,442035,74959,16.95770696890518,289229,31.693225783030055,464458,78.35261745949042,8.205478213315304,0.29173789664512184,3.7292930684798193,0.03401814588186661,0.0848300599838952,3.1559365970658275,6.146088559137747,21.950746892076356,66.25098501909753,11.798268088826115
2012,29820,3,1,0,0,1,1,0,0,NA,NA,0,0,NA,70,NA,0,0,6.7,70,NA,0,0,5.83,NA,NA,0,0,NA,54218,1030516,122657,11.902483804230114,186700,1039,706037,393162,55.68575018023135,1930171,274985,14.246665191840515,1287447,22.102502083580916,1954773,47.94807376610993,10.091504230926047,0.4445017400997456,8.55178580837775,0.6507660991838949,0.19163350424831938,3.0000925938715133,29.121642257182806,24.96126148662786,63.588611056117514,11.450127457254627
2012,29940,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.083,0,0,1.64,48395,65623,4688,7.143836764549015,178700,826,43422,22336,51.439362535120445,102159,19893,19.472586849910435,62136,48.43568945538818,111073,81.55177225788447,3.5850296651751554,2.184149163162965,3.8668263214282494,0.012604323282886031,0.18636392282552916,3.4373790210042046,5.175875325236556,18.92179017402969,72.03010632646998,9.048103499500328
2012,30460,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.167,0,0,5.06,49497,257140,20519,7.979699774441938,160600,718,190794,114717,60.12610459448411,455434,77259,16.963819126371767,308469,34.04102195034185,472974,79.07855400085417,10.676908244427812,0.18394245772494894,2.3910405223120086,0.046091328487400995,0.10846262162402162,1.8077103604003602,5.707290464169278,22.554305310651326,66.26114754722246,11.184547142126206
2012,30700,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.714,0,0,1.75,52320,174811,10386,5.941273718473094,147200,697,119993,73960,61.63692882084788,287947,40025,13.900127454010633,188044,35.37682670013401,303154,85.08315905447397,3.3438450424536708,0.5218469820619224,3.459297914591264,0.06795226188669785,0.035295592339207135,1.8640690869986871,5.624534065194588,23.056928161924304,65.7863660053966,11.156705832679101
2012,31140,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.846,0,0,15.05,49435,668472,63468,9.494488923993824,146900,708,506076,346577,68.48319224780468,1258316,184361,14.651407118720575,866725,25.41809685886527,1284195,78.95101600613614,13.480117894867991,0.16594053083838514,1.5781871133278045,0.03293892282714074,0.0957019767247186,1.8286163705667755,3.867481184711045,23.90571525352458,63.21571100962081,12.878573736854607
