year,season,team,wins,losses,win_loss_perc,points_pg,points_opp_pg,points_diff_pg,g,points_total,points_opp_total,fgm_pg,fga_pg,fg_pct,fg3m_pg,fg3a_pg,fg3_pct,ftm_pg,fta_pg,ft_pct,oreb_pg,dreb_pg,reb_pg,ast_pg,tov_pg,stl_pg,blk_pg,pf_pg,off_rating,def_rating,net_rating,pace,ts_pct
2019,2019-20,Boston Celtics,48,24,0.667,113.7,107.3,6.3,72,8186,7726,41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23.0,13.8,8.3,5.6,21.6,112.8,106.5,6.3,99.92,0.57
2019,2019-20,Brooklyn Nets,35,37,0.486,111.8,112.3,-0.6,72,8050,8086,40.4,90.3,0.448,13.1,38.1,0.343,17.9,24.1,0.745,10.6,37.3,47.9,24.5,15.3,6.4,4.5,21.0,108.7,109.2,-0.5,101.7,0.554
2019,2019-20,Charlotte Hornets,23,42,0.354,102.9,109.6,-6.8,65,6688,7124,37.3,85.9,0.434,12.1,34.3,0.352,16.2,21.6,0.748,11.0,31.8,42.8,23.8,14.6,6.6,4.1,18.8,105.9,112.8,-7.0,96.24,0.539
2019,2019-20,Chicago Bulls,22,43,0.338,106.8,109.9,-3.1,65,6942,7144,39.6,88.6,0.447,12.2,35.1,0.348,15.5,20.5,0.755,10.5,31.4,41.9,23.2,15.5,10.0,4.1,21.8,105.8,108.9,-3.1,100.46,0.547
2019,2019-20,Cleveland Cavaliers,19,46,0.292,106.9,114.8,-7.9,65,6948,7462,40.3,87.9,0.458,11.2,31.8,0.351,15.1,19.9,0.758,10.8,33.4,44.2,23.1,16.5,6.9,3.2,18.3,106.9,114.8,-7.9,99.17,0.553
2019,2019-20,Dallas Mavericks,43,32,0.573,117.0,112.1,4.9,75,8775,8408,41.7,90.3,0.461,15.1,41.3,0.367,18.6,23.8,0.779,10.5,36.4,46.9,24.7,12.7,6.1,4.8,19.5,115.9,111.2,4.8,99.89,0.581
2019,2019-20,Denver Nuggets,46,27,0.63,111.3,109.2,2.1,73,8125,7972,42.0,88.9,0.473,11.0,30.6,0.359,16.2,20.9,0.777,10.8,33.4,44.1,26.7,13.8,8.0,4.6,20.3,112.6,110.4,2.2,97.64,0.567
2019,2019-20,Detroit Pistons,20,46,0.303,107.2,110.8,-3.6,66,7075,7313,39.3,85.7,0.459,12.0,32.7,0.367,16.6,22.4,0.743,9.8,32.0,41.7,24.1,15.3,7.4,4.5,19.7,108.8,112.3,-3.5,97.86,0.561
2019,2019-20,Golden State Warriors,15,50,0.231,106.3,115.0,-8.7,65,6910,7475,38.6,88.2,0.438,10.4,31.3,0.334,18.7,23.2,0.803,10.0,32.9,42.8,25.6,14.9,8.2,4.6,20.1,104.4,113.0,-8.6,101.04,0.54
2019,2019-20,Houston Rockets,44,28,0.611,117.8,114.8,3.0,72,8482,8266,40.8,90.4,0.451,15.6,45.3,0.345,20.6,26.1,0.791,9.8,34.5,44.3,21.6,14.7,8.7,5.2,21.8,112.5,109.8,2.7,104.04,0.578
2019,2019-20,Indiana Pacers,45,28,0.616,109.4,107.5,2.0,73,7986,7848,42.1,88.5,0.476,10.2,28.0,0.363,15.0,19.1,0.787,8.7,34.1,42.8,25.9,13.2,7.4,5.2,19.8,109.5,107.5,1.9,99.41,0.565
2019,2019-20,LA Clippers,49,23,0.681,116.3,109.9,6.4,72,8374,7913,41.6,89.2,0.466,12.4,33.5,0.371,20.8,26.3,0.791,10.7,37.0,47.7,23.7,14.6,7.1,4.7,22.1,113.3,106.9,6.3,102.16,0.577
2019,2019-20,Los Angeles Lakers,52,19,0.732,113.4,107.6,5.8,71,8051,7640,42.3,88.3,0.48,11.0,31.6,0.349,17.7,24.3,0.729,10.7,35.1,45.7,25.4,15.2,8.6,6.6,20.7,111.7,106.1,5.6,101.2,0.573
2019,2019-20,Memphis Grizzlies,34,39,0.466,112.6,113.7,-1.1,73,8220,8300,42.5,90.9,0.468,10.9,31.5,0.347,16.6,21.8,0.763,10.3,36.2,46.5,26.9,15.2,7.9,5.5,21.2,108.7,109.7,-1.0,103.31,0.561
2019,2019-20,Miami Heat,44,29,0.603,112.0,109.1,2.9,73,8176,7964,39.5,84.4,0.468,13.4,35.4,0.379,19.7,25.2,0.783,8.5,35.9,44.4,25.9,14.9,7.5,4.5,20.6,111.9,109.3,2.7,98.7,0.587
2019,2019-20,Milwaukee Bucks,56,17,0.767,118.7,108.6,10.1,73,8665,7928,43.3,90.9,0.476,13.8,38.9,0.355,18.3,24.7,0.742,9.5,42.2,51.7,25.9,15.1,7.2,5.9,19.6,111.9,102.5,9.4,105.51,0.583
2019,2019-20,Minnesota Timberwolves,19,45,0.297,113.3,117.5,-4.3,64,7251,7520,40.4,91.6,0.441,13.3,39.7,0.336,19.1,25.4,0.753,10.5,34.3,44.8,23.8,15.3,8.7,5.7,21.4,107.6,111.6,-4.0,103.94,0.551
2019,2019-20,New Orleans Pelicans,30,42,0.417,115.8,117.1,-1.3,72,8338,8431,42.6,91.6,0.465,13.6,36.9,0.37,17.1,23.4,0.729,11.1,35.4,46.5,26.8,16.4,7.5,5.0,21.2,110.5,111.8,-1.3,103.89,0.568
2019,2019-20,New York Knicks,21,45,0.318,105.8,112.3,-6.5,66,6983,7412,40.0,89.3,0.447,9.6,28.4,0.337,16.3,23.5,0.694,12.0,34.5,46.5,22.1,14.3,7.6,4.7,22.2,105.9,112.4,-6.5,99.11,0.531
2019,2019-20,Oklahoma City Thunder,44,28,0.611,110.4,108.4,2.0,72,7949,7805,40.0,85.5,0.468,10.7,30.2,0.355,19.8,24.8,0.796,8.2,34.7,42.9,21.7,13.7,7.6,4.9,19.3,110.1,108.1,2.1,99.42,0.573
2019,2019-20,Orlando Magic,33,40,0.452,107.3,108.3,-1.0,73,7833,7906,39.3,88.6,0.444,11.1,32.2,0.343,17.6,22.7,0.774,10.3,34.2,44.5,23.9,12.8,8.2,5.4,18.3,107.9,109.2,-1.3,98.99,0.544
2019,2019-20,Philadelphia 76ers,43,30,0.589,110.7,108.4,2.4,73,8081,7913,41.1,87.9,0.468,11.6,31.6,0.368,16.9,22.4,0.755,10.5,35.0,45.4,25.8,14.2,8.0,5.3,20.9,110.7,108.4,2.3,99.59,0.566
2019,2019-20,Phoenix Suns,34,39,0.466,113.6,113.4,0.2,73,8293,8278,41.2,88.1,0.468,11.4,31.8,0.358,19.9,23.8,0.834,9.8,33.8,43.5,27.2,14.8,7.7,4.0,22.0,111.3,110.8,0.5,101.74,0.576
2019,2019-20,Portland Trail Blazers,35,39,0.473,115.0,116.1,-1.1,74,8510,8591,42.2,91.2,0.463,12.9,34.1,0.377,17.7,22.1,0.804,10.2,35.1,45.3,20.6,12.8,6.3,6.1,21.7,113.2,114.3,-1.1,101.17,0.57
2019,2019-20,Sacramento Kings,31,41,0.431,110.1,112.1,-2.0,72,7927,8071,40.9,88.4,0.462,12.7,34.9,0.364,15.7,20.3,0.77,9.7,32.9,42.6,23.8,14.5,7.7,4.1,22.2,109.5,111.4,-1.9,99.6,0.566
2019,2019-20,San Antonio Spurs,32,39,0.451,114.1,115.2,-1.1,71,8101,8179,42.2,89.4,0.472,10.7,28.5,0.376,19.0,23.4,0.81,9.0,35.6,44.6,24.7,12.6,7.3,5.5,19.4,111.7,112.6,-0.9,101.14,0.572
2019,2019-20,Utah Jazz,44,28,0.611,111.3,108.8,2.5,72,8014,7834,40.1,85.1,0.471,13.4,35.2,0.38,17.8,22.8,0.779,9.1,35.8,44.9,22.4,15.1,6.1,4.1,20.4,111.8,109.3,2.5,99.15,0.585
2019,2019-20,Washington Wizards,25,47,0.347,114.4,119.1,-4.7,72,8237,8575,41.5,90.9,0.457,12.0,32.6,0.368,19.4,24.6,0.788,10.2,31.9,42.0,25.0,14.2,8.0,4.3,22.7,110.2,114.7,-4.5,103.38,0.562
2020,2020-21,Atlanta Hawks,41,31,0.569,113.7,111.4,2.3,72,8186,8021,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,13.2,7.0,4.8,19.3,114.3,112.1,2.2,98.68,0.581
2020,2020-21,Boston Celtics,36,36,0.5,112.6,111.2,1.5,72,8107,8006,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,14.1,7.7,5.3,20.4,113.1,111.8,1.2,98.94,0.574
2020,2020-21,Brooklyn Nets,48,24,0.667,118.6,114.1,4.5,72,8539,8215,43.1,87.3,0.494,14.2,36.1,0.392,18.1,22.5,0.804,8.9,35.5,44.4,26.8,13.5,6.7,5.3,19.0,117.3,113.1,4.2,100.27,0.61
2020,2020-21,Charlotte Hornets,33,39,0.458,109.5,111.4,-1.9,72,7884,8021,39.9,87.8,0.455,13.7,37.0,0.369,15.9,20.9,0.761,10.6,33.2,43.8,26.8,14.8,7.8,4.8,18.0,110.1,112.0,-1.9,99.0,0.564
2020,2020-21,Chicago Bulls,31,41,0.431,110.7,111.6,-0.9,72,7970,8035,42.2,88.6,0.476,12.6,34.0,0.37,13.8,17.5,0.791,9.6,35.3,45.0,26.8,15.1,6.7,4.2,18.9,110.4,111.5,-1.1,99.58,0.575
2020,2020-21,Cleveland Cavaliers,22,50,0.306,103.8,112.3,-8.4,72,7474,8086,38.6,85.8,0.45,10.0,29.7,0.336,16.7,22.4,0.743,10.4,32.3,42.8,23.8,15.5,7.8,4.5,18.2,105.2,113.5,-8.3,97.96,0.543
2020,2020-21,Dallas Mavericks,42,30,0.583,112.4,110.2,2.3,72,8093,7934,41.1,87.3,0.47,13.8,38.1,0.362,16.5,21.2,0.778,9.1,34.2,43.3,22.9,12.1,6.3,4.3,19.4,114.6,112.3,2.3,97.94,0.582
2020,2020-21,Denver Nuggets,47,25,0.653,115.1,110.1,4.9,72,8287,7927,43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,13.5,8.1,4.5,19.1,116.3,111.5,4.8,97.74,0.588
2020,2020-21,Detroit Pistons,20,52,0.278,106.6,111.1,-4.5,72,7675,7999,38.7,85.6,0.452,11.6,32.9,0.351,17.8,23.4,0.759,9.6,33.1,42.7,24.2,14.9,7.4,5.2,20.5,107.6,112.2,-4.5,98.19,0.556
2020,2020-21,Golden State Warriors,39,33,0.542,113.7,112.7,1.1,72,8186,8114,41.3,88.2,0.468,14.6,38.7,0.376,16.6,21.1,0.785,8.0,35.1,43.0,27.7,15.0,8.2,4.8,21.2,110.5,109.4,1.1,102.81,0.583
2020,2020-21,Houston Rockets,17,55,0.236,108.8,116.7,-7.9,72,7834,8402,39.3,88.5,0.444,13.8,40.6,0.339,16.5,22.3,0.74,9.3,33.3,42.6,23.6,14.7,7.6,5.0,19.5,107.0,114.4,-7.4,101.69,0.553
2020,2020-21,Indiana Pacers,34,38,0.472,115.3,115.3,0.0,72,8302,8302,43.3,91.2,0.474,12.3,34.0,0.364,16.4,20.7,0.792,9.0,33.7,42.7,27.4,13.5,8.5,6.4,20.2,111.9,111.9,0.1,102.05,0.575
2020,2020-21,LA Clippers,47,25,0.653,114.0,107.8,6.2,72,8208,7762,41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,13.2,7.1,4.1,19.2,116.7,110.6,6.1,97.63,0.599
2020,2020-21,Los Angeles Lakers,42,30,0.583,109.5,106.8,2.8,72,7884,7690,40.6,86.1,0.472,11.1,31.2,0.354,17.2,23.3,0.739,9.7,34.6,44.2,24.7,15.2,7.8,5.4,19.1,109.8,106.8,2.9,98.85,0.569
2020,2020-21,Memphis Grizzlies,38,34,0.528,113.3,112.3,1.0,72,8158,8086,42.8,91.8,0.467,11.2,31.4,0.356,16.4,21.3,0.771,11.2,35.3,46.5,26.9,13.3,9.1,5.1,18.7,111.7,110.5,1.2,100.77,0.56
2020,2020-21,Miami Heat,40,32,0.556,108.1,108.0,0.0,72,7783,7776,39.2,83.7,0.468,12.9,36.2,0.358,16.7,21.1,0.79,8.0,33.5,41.5,26.3,14.1,7.9,4.0,18.9,110.6,110.7,-0.1,97.09,0.581
2020,2020-21,Milwaukee Bucks,46,26,0.639,120.1,114.2,5.9,72,8647,8222,44.7,91.8,0.487,14.4,37.1,0.389,16.2,21.4,0.76,10.3,37.8,48.1,25.5,13.8,8.1,4.6,17.3,116.5,110.7,5.8,102.85,0.593
2020,2020-21,Minnesota Timberwolves,23,49,0.319,112.1,117.7,-5.6,72,8071,8474,40.7,90.9,0.448,13.1,37.6,0.349,17.6,23.1,0.761,10.5,33.0,43.5,25.6,14.3,8.8,5.5,20.9,109.3,114.5,-5.3,101.96,0.555
2020,2020-21,New Orleans Pelicans,31,41,0.431,114.6,114.9,-0.3,72,8251,8273,42.5,89.1,0.477,10.6,30.4,0.348,19.0,26.1,0.729,11.7,35.7,47.4,26.0,14.6,7.6,4.4,18.0,113.0,113.3,-0.3,100.54,0.57
2020,2020-21,New York Knicks,41,31,0.569,107.0,104.7,2.3,72,7704,7538,39.4,86.5,0.456,11.8,30.0,0.392,16.4,20.9,0.784,9.7,35.5,45.1,21.4,12.9,7.0,5.1,20.5,110.2,107.8,2.4,96.32,0.559
2020,2020-21,Oklahoma City Thunder,22,50,0.306,105.0,115.6,-10.6,72,7560,8323,38.8,88.0,0.441,11.9,35.1,0.339,15.5,21.3,0.725,9.9,35.7,45.6,22.1,16.1,7.0,4.4,18.1,102.8,113.4,-10.6,101.61,0.539
2020,2020-21,Orlando Magic,21,51,0.292,104.0,113.3,-9.3,72,7488,8158,38.3,89.2,0.429,10.9,31.8,0.343,16.6,21.4,0.775,10.4,35.1,45.4,21.8,12.8,6.9,4.4,17.2,104.6,113.9,-9.3,99.17,0.527
2020,2020-21,Philadelphia 76ers,49,23,0.681,113.6,108.1,5.6,72,8179,7783,41.4,86.9,0.476,11.3,30.1,0.374,19.6,25.5,0.767,10.0,35.0,45.1,23.7,14.4,9.1,6.2,20.2,112.5,107.0,5.5,100.12,0.579
2020,2020-21,Phoenix Suns,51,21,0.708,115.3,109.5,5.8,72,8302,7884,43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,12.5,7.2,4.3,19.1,116.3,110.4,5.9,98.0,0.597
2020,2020-21,Portland Trail Blazers,42,30,0.583,116.1,114.3,1.8,72,8359,8230,41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,11.1,6.9,5.0,18.9,117.1,115.3,1.8,98.97,0.577
2020,2020-21,Sacramento Kings,31,41,0.431,113.7,117.4,-3.7,72,8186,8453,42.6,88.6,0.481,12.1,33.3,0.364,16.4,22.0,0.745,9.4,32.0,41.4,25.5,13.4,7.5,5.0,19.4,112.7,116.5,-3.8,100.71,0.578
2020,2020-21,San Antonio Spurs,33,39,0.458,111.1,112.8,-1.7,72,7999,8122,41.9,90.5,0.462,9.9,28.4,0.35,17.4,22.0,0.792,9.3,34.6,43.9,24.4,11.4,7.0,5.1,18.0,110.5,112.0,-1.5,99.45,0.554
2020,2020-21,Utah Jazz,52,20,0.722,116.4,107.2,9.3,72,8381,7718,41.3,88.1,0.468,16.7,43.0,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,14.2,6.6,5.2,18.5,116.5,107.5,9.0,99.37,0.597
2020,2020-21,Washington Wizards,34,38,0.472,116.6,118.5,-1.8,72,8395,8532,43.2,90.9,0.475,10.2,29.0,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,14.4,7.3,4.1,21.6,110.7,112.3,-1.6,104.67,0.569
2021,2021-22,Atlanta Hawks,43,39,0.524,113.9,112.4,1.6,82,9340,9217,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10.0,33.9,44.0,24.6,11.9,7.2,4.2,18.7,115.4,113.7,1.6,98.67,0.581
2021,2021-22,Boston Celtics,51,31,0.622,111.8,104.5,7.3,82,9168,8569,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,18.5,113.6,106.2,7.4,97.26,0.578
2021,2021-22,Brooklyn Nets,44,38,0.537,112.9,112.1,0.8,82,9258,9192,42.0,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,14.1,7.1,5.5,20.4,113.2,112.3,0.9,99.4,0.576
